features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,3,Inf,Inf,3
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
Dexaan,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,Inf,Inf,Inf,Inf,Inf
somekid66,Inf,4,1,Inf,4,1
Heliocentrist,Inf,Inf,3,Inf,Inf,3
Heliocentrist,Inf,5,6,Inf,5,6
cunninglinguist81,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,3,Inf,Inf,3
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,1,1,1,0,1,1
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,2,2,4,0,2,4
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
FearLeadsToAnger,Inf,Inf,Inf,Inf,Inf,Inf
LouGossetJr,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,3,Inf,Inf,3
Asphyxiatinglaughter,Inf,Inf,Inf,Inf,Inf,Inf
Asphyxiatinglaughter,Inf,Inf,3,Inf,Inf,3
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
Norfucksailor,Inf,Inf,Inf,Inf,Inf,Inf
CannedBullet,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
ShouldBeAnUpvoteGif,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,2,3,6,0,3,6
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
InVultusSolis,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,4,7,Inf,4,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,4,7,Inf,4,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,1,1,1,0,1,1
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,4,Inf,Inf,4
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,3,Inf,Inf,3
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,4,6,Inf,4,6
PhysicianDre,1,3,7,0,3,7
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,1,2,Inf,1,2
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,5,6,Inf,5,6
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,6,Inf,Inf,6
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
damnthatsfuckinggood,Inf,Inf,Inf,Inf,Inf,Inf
PhysicianDre,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,1,1,Inf,1,1
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,2,3,6,0,3,6
JacksonGuitarguy,Inf,Inf,5,Inf,Inf,5
JacksonGuitarguy,Inf,Inf,6,Inf,Inf,6
JacksonGuitarguy,Inf,3,5,Inf,3,5
rhackleford,2,5,2,0,5,2
rhackleford,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,Inf,Inf,Inf,Inf,Inf
JacksonGuitarguy,Inf,3,4,Inf,3,4
Afasso,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,7,Inf,Inf,7
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,3,2,Inf,3,2
IHeartmyshihtzu,Inf,3,3,Inf,3,3
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,3,5,Inf,3,5
IHeartmyshihtzu,Inf,1,3,Inf,1,3
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,2,2,Inf,2,2
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
IHeartmyshihtzu,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,6,Inf,Inf,6
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
ParentPostLacksWang,Inf,Inf,Inf,Inf,Inf,Inf
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,Inf,2,Inf,Inf,2
RedneckAvengers,Inf,Inf,Inf,Inf,Inf,Inf
WadeK,Inf,5,7,Inf,5,7
WadeK,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,1,2,3,0,2,3
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,4,Inf,Inf,4
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,2,5,9,0,5,9
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
ComaRedxbl,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,2,4,8,0,4,8
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,7,Inf,Inf,7
shadeslayer0930,Inf,3,6,Inf,3,6
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
shadeslayer0930,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
Hcysntmf,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,9,Inf,Inf,9
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,2,4,6,0,4,6
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
bigbeardthesecond,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
Zulucandle,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
j_strange888,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
GalaxyDelta9,Inf,Inf,Inf,Inf,Inf,Inf
FromAPorcelainThrone,Inf,Inf,Inf,Inf,Inf,Inf
BigBrownDownTown,Inf,Inf,Inf,Inf,Inf,Inf
BigBrownDownTown,Inf,Inf,Inf,Inf,Inf,Inf
BigBrownDownTown,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
ZXCVBNM9012,Inf,Inf,Inf,Inf,Inf,Inf
Gillig4n,Inf,1,3,Inf,1,3
Gillig4n,Inf,Inf,6,Inf,Inf,6
