features$author,nn-2_gt-1,nn-5_gt-1,nn-10_gt-1,nn-20_gt-1,nn-2_gt-2,nn-5_gt-2,nn-10_gt-2,nn-20_gt-2,nn-2_gt-3,nn-5_gt-3,nn-10_gt-3,nn-20_gt-3,nn-2_gt-4,nn-5_gt-4,nn-10_gt-4,nn-20_gt-4
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RedneckAvengers,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,3,1,1,0,3,1,1,0,3,1,1,0,0,1,1
JacksonGuitarguy,1,1,2,2,0,1,2,2,0,1,2,2,0,0,2,2
CannedBullet,1,1,2,3,0,1,2,3,0,1,2,3,0,0,2,3
CannedBullet,1,1,1,3,0,1,1,3,0,1,1,3,0,0,1,3
Asphyxiatinglaughter,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,2,6,11,0,2,6,11,0,2,6,11,0,0,6,11
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,1,2,5,11,0,2,5,11,0,2,5,11,0,0,5,11
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
shitpost12,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
shitpost12,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,8,3,0,NA,8,3,0,NA,8,3,0,0,8,3
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,6,10,0,NA,6,10,0,NA,6,10,0,0,6,10
JacksonGuitarguy,NA,3,3,7,0,3,3,7,0,3,3,7,0,0,3,7
RonaId_Trump,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
RonaId_Trump,NA,NA,6,4,0,NA,6,4,0,NA,6,4,0,0,6,4
Gillig4n,NA,NA,3,7,0,NA,3,7,0,NA,3,7,0,0,3,7
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
shitpost12,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,6,2,0,NA,6,2,0,NA,6,2,0,0,6,2
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,12,0,NA,NA,12,0,NA,NA,12,0,0,NA,12
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,1,1,0,NA,1,1,0,NA,1,1,0,0,1,1
Heliocentrist,NA,3,1,2,0,3,1,2,0,3,1,2,0,0,1,2
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,3,6,2,0,3,6,2,0,3,6,2,0,0,6,2
componentfield,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,8,4,0,NA,8,4,0,NA,8,4,0,0,8,4
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,4,10,0,NA,4,10,0,NA,4,10,0,0,4,10
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,4,3,0,2,4,3,0,2,4,3,0,0,4,3
PhysicianDre,NA,NA,8,4,0,NA,8,4,0,NA,8,4,0,0,8,4
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,8,14,0,NA,8,14,0,NA,8,14,0,0,8,14
RonaId_Trump,2,5,7,10,0,5,7,10,0,5,7,10,0,0,7,10
Stolichnayaaa,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
shitpost12,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
RonaId_Trump,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,2,3,7,2,0,3,7,2,0,3,7,2,0,0,7,2
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
FearLeadsToAnger,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
woodukindly_bruh,NA,NA,9,14,0,NA,9,14,0,NA,9,14,0,0,9,14
WadeK,NA,NA,1,1,0,NA,1,1,0,NA,1,1,0,0,1,1
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,4,0,NA,NA,4,0,NA,NA,4,0,0,NA,4
Dexaan,NA,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,1,1,2,0,1,1,2,0,1,1,2,0,0,1,2
Dexaan,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
PhysicianDre,NA,NA,6,1,0,NA,6,1,0,NA,6,1,0,0,6,1
shadeslayer0930,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,1,5,8,0,1,5,8,0,1,5,8,0,0,5,8
kodefuguru,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
RedneckAvengers,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,6,11,0,NA,6,11,0,NA,6,11,0,0,6,11
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
rhackleford,NA,NA,6,13,0,NA,6,13,0,NA,6,13,0,0,6,13
Dexaan,NA,1,3,2,0,1,3,2,0,1,3,2,0,0,3,2
InVultusSolis,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
InVultusSolis,NA,4,7,9,0,4,7,9,0,4,7,9,0,0,7,9
InVultusSolis,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
InVultusSolis,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
InVultusSolis,NA,NA,7,10,0,NA,7,10,0,NA,7,10,0,0,7,10
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,2,1,0,NA,2,1,0,NA,2,1,0,0,2,1
InVultusSolis,2,3,5,6,0,3,5,6,0,3,5,6,0,0,5,6
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,5,8,15,0,5,8,15,0,5,8,15,0,0,8,15
Beebeeb,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
InVultusSolis,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
InVultusSolis,NA,2,2,8,0,2,2,8,0,2,2,8,0,0,2,8
Zulucandle,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,3,7,1,0,3,7,1,0,3,7,1,0,0,7,1
Heliocentrist,1,1,2,4,0,1,2,4,0,1,2,4,0,0,2,4
Dexaan,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
Tnargkiller,NA,NA,9,15,0,NA,9,15,0,NA,9,15,0,0,9,15
RonaId_Trump,NA,NA,6,5,0,NA,6,5,0,NA,6,5,0,0,6,5
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
WadeK,1,4,7,13,0,4,7,13,0,4,7,13,0,0,7,13
Dexaan,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
RonaId_Trump,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JimmyHoffa1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,5,1,0,NA,5,1,0,NA,5,1,0,0,5,1
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
rhackleford,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,2,8,0,NA,2,8,0,NA,2,8,0,0,2,8
kodefuguru,1,2,1,2,0,2,1,2,0,2,1,2,0,0,1,2
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
crazyike,1,3,4,5,0,3,4,5,0,3,4,5,0,0,4,5
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
FearLeadsToAnger,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
cunninglinguist81,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Stolichnayaaa,NA,NA,6,11,0,NA,6,11,0,NA,6,11,0,0,6,11
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,2,7,0,1,2,7,0,1,2,7,0,0,2,7
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,1,1,3,6,0,1,3,6,0,1,3,6,0,0,3,6
JacksonGuitarguy,2,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Dexaan,NA,NA,2,2,0,NA,2,2,0,NA,2,2,0,0,2,2
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,3,1,0,2,3,1,0,2,3,1,0,0,3,1
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
InVultusSolis,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
Dexaan,1,2,6,3,0,2,6,3,0,2,6,3,0,0,6,3
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,5,8,0,NA,5,8,0,NA,5,8,0,0,5,8
woodukindly_bruh,NA,5,9,2,0,5,9,2,0,5,9,2,0,0,9,2
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
xENO_,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
JacksonGuitarguy,NA,NA,3,1,0,NA,3,1,0,NA,3,1,0,0,3,1
Heliocentrist,NA,NA,6,1,0,NA,6,1,0,NA,6,1,0,0,6,1
xENO_,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Afasso,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
dokkou,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
dokkou,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,1,2,6,2,0,2,6,2,0,2,6,2,0,0,6,2
Heliocentrist,1,3,6,2,0,3,6,2,0,3,6,2,0,0,6,2
kodefuguru,NA,3,6,10,0,3,6,10,0,3,6,10,0,0,6,10
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,3,2,5,0,3,2,5,0,3,2,5,0,0,2,5
Dexaan,NA,NA,4,8,0,NA,4,8,0,NA,4,8,0,0,4,8
Dexaan,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
InVultusSolis,NA,NA,4,4,0,NA,4,4,0,NA,4,4,0,0,4,4
PhysicianDre,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,6,13,0,NA,6,13,0,NA,6,13,0,0,6,13
Tnargkiller,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Hcysntmf,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
JacksonGuitarguy,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
woodukindly_bruh,NA,NA,8,14,0,NA,8,14,0,NA,8,14,0,0,8,14
woodukindly_bruh,NA,NA,NA,15,0,NA,NA,15,0,NA,NA,15,0,0,NA,15
Heliocentrist,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
PhysicianDre,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,0,NA,1
Heliocentrist,NA,3,5,3,0,3,5,3,0,3,5,3,0,0,5,3
Heliocentrist,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,10,0,NA,NA,10,0,NA,NA,10,0,0,NA,10
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
RonaId_Trump,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
RonaId_Trump,NA,NA,2,4,0,NA,2,4,0,NA,2,4,0,0,2,4
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
CannedBullet,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,5,2,2,0,5,2,2,0,5,2,2,0,0,2,2
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
PhysicianDre,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
RonaId_Trump,NA,NA,8,5,0,NA,8,5,0,NA,8,5,0,0,8,5
PhysicianDre,NA,NA,NA,9,0,NA,NA,9,0,NA,NA,9,0,0,NA,9
RonaId_Trump,NA,4,1,1,0,4,1,1,0,4,1,1,0,0,1,1
JacksonGuitarguy,NA,NA,6,1,0,NA,6,1,0,NA,6,1,0,0,6,1
RonaId_Trump,2,4,5,4,0,4,5,4,0,4,5,4,0,0,5,4
JacksonGuitarguy,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearDaNeard,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
kodefuguru,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
kodefuguru,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,6,9,0,NA,6,9,0,NA,6,9,0,0,6,9
damnthatsfuckinggood,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
ParentPostLacksWang,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,0,NA,5
xENO_,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Gillig4n,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
bigbeardthesecond,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
woodukindly_bruh,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
BigBrownDownTown,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
BigBrownDownTown,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Heliocentrist,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
damnthatsfuckinggood,NA,NA,NA,4,0,NA,NA,4,0,NA,NA,4,0,0,NA,4
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,NA,NA,7,0,NA,NA,7,0,NA,NA,7,0,0,NA,7
kodefuguru,NA,NA,NA,11,0,NA,NA,11,0,NA,NA,11,0,0,NA,11
damnthatsfuckinggood,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FearLeadsToAnger,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,2,3,8,0,2,3,8,0,2,3,8,0,0,3,8
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,2,1,2,0,2,1,2,0,2,1,2,0,0,1,2
woodukindly_bruh,NA,NA,NA,13,0,NA,NA,13,0,NA,NA,13,0,0,NA,13
Beebeeb,NA,NA,2,6,0,NA,2,6,0,NA,2,6,0,0,2,6
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
headfullofmangos,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
somekid66,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,NA,NA,8,0,NA,NA,8,0,NA,NA,8,0,0,NA,8
Dexaan,NA,2,1,2,0,2,1,2,0,2,1,2,0,0,1,2
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
IHeartmyshihtzu,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
kodefuguru,NA,3,6,3,0,3,6,3,0,3,6,3,0,0,6,3
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Tnargkiller,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
woodukindly_bruh,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
Dexaan,NA,3,4,9,0,3,4,9,0,3,4,9,0,0,4,9
woodukindly_bruh,NA,NA,NA,14,0,NA,NA,14,0,NA,NA,14,0,0,NA,14
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
woodukindly_bruh,NA,NA,7,3,0,NA,7,3,0,NA,7,3,0,0,7,3
Dexaan,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
PhysicianDre,1,4,7,3,0,4,7,3,0,4,7,3,0,0,7,3
WadeK,NA,4,7,13,0,4,7,13,0,4,7,13,0,0,7,13
woodukindly_bruh,NA,4,8,16,0,4,8,16,0,4,8,16,0,0,8,16
PhysicianDre,NA,NA,6,2,0,NA,6,2,0,NA,6,2,0,0,6,2
PhysicianDre,NA,NA,7,11,0,NA,7,11,0,NA,7,11,0,0,7,11
PhysicianDre,2,4,7,13,0,4,7,13,0,4,7,13,0,0,7,13
PhysicianDre,1,1,2,1,0,1,2,1,0,1,2,1,0,0,2,1
Dexaan,2,1,2,2,0,1,2,2,0,1,2,2,0,0,2,2
ShouldBeAnUpvoteGif,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Dexaan,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
Dexaan,NA,2,1,1,0,2,1,1,0,2,1,1,0,0,1,1
PhysicianDre,NA,NA,NA,2,0,NA,NA,2,0,NA,NA,2,0,0,NA,2
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
PhysicianDre,1,4,6,11,0,4,6,11,0,4,6,11,0,0,6,11
Dexaan,NA,NA,NA,6,0,NA,NA,6,0,NA,NA,6,0,0,NA,6
__worldpeace,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
FromAPorcelainThrone,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
Beebeeb,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
RonaId_Trump,NA,NA,NA,3,0,NA,NA,3,0,NA,NA,3,0,0,NA,3
RonaId_Trump,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA
